Service Name,Retail Price,Duration,Extra Time,Tax,Description,Category Name,Treatment Type,Resource,Online Booking,Available For,Voucher Sales,Commissions,Service ID
Sebaceous Hyperplasia Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,Sebaceous hyperplasia are enlarged sebaceous glands generally seen on the forehead or cheeks which are more prevalent from middle age. It is a harmless condition which is easily removed.,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,862"
Sebaceous Hyperplasia Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,Sebaceous hyperplasia are enlarged sebaceous glands generally seen on the forehead or cheeks which are more prevalent from middle age. It is a harmless condition which is easily removed.,Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,862"
Seborrhoeic Keratosis removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"This is a common benign skin growth, they are usually dark in colour and can appear waxy, scaly and slightly raised and usually appear on the head, neck, chest or back.  They are harmless and not contagious and do not require treatment, however, they can be irritating when they catch on clothing or appear in prominent positions.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,714,938"
Seborrhoeic Keratosis removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"This is a common benign skin growth, they are usually dark in colour and can appear waxy, scaly and slightly raised and usually appear on the head, neck, chest or back.  They are harmless and not contagious and do not require treatment, however, they can be irritating when they catch on clothing or appear in prominent positions.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,921"
Seborrhoeic Keratosis removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"This is a common benign skin growth, they are usually dark in colour and can appear waxy, scaly and slightly raised and usually appear on the head, neck, chest or back.  They are harmless and not contagious and do not require treatment, however, they can be irritating when they catch on clothing or appear in prominent positions.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,921"
Seborrhoeic Keratosis removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"This is a common benign skin growth, they are usually dark in colour and can appear waxy, scaly and slightly raised and usually appear on the head, neck, chest or back.  They are harmless and not contagious and do not require treatment, however, they can be irritating when they catch on clothing or appear in prominent positions.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,921"
Syringoma removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Syringiomas are benign growths that occur in the sweat ducts. They appear as flesh coloured elevations of the skin, most commonly located around the eye socket, upper chest, armpits, chest, abdomen and forehead.  They typically appear as small 1-3 mm bumps in clusters on both sides of the body.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,717,029"
Syringoma removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Syringiomas are benign growths that occur in the sweat ducts. They appear as flesh coloured elevations of the skin, most commonly located around the eye socket, upper chest, armpits, chest, abdomen and forehead.  They typically appear as small 1-3 mm bumps in clusters on both sides of the body.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,053"
Syringoma removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Syringiomas are benign growths that occur in the sweat ducts. They appear as flesh coloured elevations of the skin, most commonly located around the eye socket, upper chest, armpits, chest, abdomen and forehead.  They typically appear as small 1-3 mm bumps in clusters on both sides of the body.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,053"
Syringoma removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Syringiomas are benign growths that occur in the sweat ducts. They appear as flesh coloured elevations of the skin, most commonly located around the eye socket, upper chest, armpits, chest, abdomen and forehead.  They typically appear as small 1-3 mm bumps in clusters on both sides of the body.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,053"
Verruca / Plantar Wart removal - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Plantar Warts or verrucae can be tender and inwardly growing on the sole of the foot, they can also form in clusters of superficial less painful, mosaic warts.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,714,952"
Verruca / Plantar Wart removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"Plantar Warts or verrucae can be tender and inwardly growing on the sole of the foot, they can also form in clusters of superficial less painful, mosaic warts.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,969"
Verruca / Plantar Wart removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"Plantar Warts or verrucae can be tender and inwardly growing on the sole of the foot, they can also form in clusters of superficial less painful, mosaic warts.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,969"
Verruca / Plantar Wart removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"Plantar Warts or verrucae can be tender and inwardly growing on the sole of the foot, they can also form in clusters of superficial less painful, mosaic warts.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,714,969"
Wart Removal - consultation & test treatment - Consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"For the treatment of common warts. These are most often found on and around the hands, in the early stages they a small and fairly round with a flecked appearance in the centre which can feature tiny black dots.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,717,173"
Wart Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"For the treatment of common warts. These are most often found on and around the hands, in the early stages they a small and fairly round with a flecked appearance in the centre which can feature tiny black dots.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,205"
Wart Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"For the treatment of common warts. These are most often found on and around the hands, in the early stages they a small and fairly round with a flecked appearance in the centre which can feature tiny black dots.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,205"
Wart Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"For the treatment of common warts. These are most often found on and around the hands, in the early stages they a small and fairly round with a flecked appearance in the centre which can feature tiny black dots.  They are caused by a virus and and transmitted through contact. Removal is simple and relatively pain free.",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,717,205"
Xanthelasma Removal - consultation & test treatment - consultation & test treatment,45.00,30m,15m blocked time after,Default per location,"Please note that due to Xanthelasmas association with atherosclerosis medical consent from you GP is required prior to this treatment and you cannot be treated without it.

You can request medical consent forms on our website at 
 https://labellejolie.com/advanced-cosmetic-procedures.html and we will email you the forms to take to your GP.

Xanthelasma is a sharply demarcated yellowish deposit of cholesterol underneath the skin. It usually occurs on or around the eyelids and while it is neither harmful to the skin nor painful, these minor growths may be disfiguring and can be removed.",Advanced Cosmetic Procedures,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"11,715,015"
Xanthelasma Removal - 15 minute follow up treatment,60.00,15m,15m blocked time after,Default per location,"This is a sharply demarcated yellowish deposit of cholesterol underneath the skin. It usually occurs on or around the eyelids and while it is neither harmful to the skin nor painful, these minor growths may be disfiguring and can be removed.  

Due to their association with atherosclerosis we require prior medical inspection and consent to treat this condition together with a consultation and test treatment appointment before we can provide any further treatment.

If you are unsure please call the salon on 020 7018 1209",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,036"
Xanthelasma Removal - 30 minute follow up treatment,100.00,30m,15m blocked time after,Default per location,"This is a sharply demarcated yellowish deposit of cholesterol underneath the skin. It usually occurs on or around the eyelids and while it is neither harmful to the skin nor painful, these minor growths may be disfiguring and can be removed.  

Due to their association with atherosclerosis we require prior medical inspection and consent to treat this condition together with a consultation and test treatment appointment before we can provide any further treatment.

If you are unsure please call the salon on 020 7018 1209",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,036"
Xanthelasma Removal - 1st treatment,150.00,30m,15m blocked time after,Default per location,"This is a sharply demarcated yellowish deposit of cholesterol underneath the skin. It usually occurs on or around the eyelids and while it is neither harmful to the skin nor painful, these minor growths may be disfiguring and can be removed.  

Due to their association with atherosclerosis we require prior medical inspection and consent to treat this condition together with a consultation and test treatment appointment before we can provide any further treatment.

If you are unsure please call the salon on 020 7018 1209",Advanced Cosmetic Procedures,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"11,715,036"
Microcurrent non-surgical face lift,75.00,1h 10m,5m blocked time after,Default per location,"This facial combines several different currents for dramatic anti-ageing results; galvanic for deep cleansing and enhanced product penetration and microcurrent for lifting and toning skin and muscles with impressive results after just one treatment. 
 
Clinical studies show that microcurrent increases collagen production, blood circulation, and lymphatic draining, and can increase the length and size of elastin fibres up to 50% creating noticeable differences in fine lines and sagging areas. It also causes a radical increase in ATP (adenosine triphosphate - the molecule responsible for the storage and distribution of energy in the body), production by up to 500%.
 
For the best results it is recommended that you start with three treatments, each a week apart followed by one every month thereafter.",Advanced Facials,Non-Surgical Facelift,Required,Enabled,Everyone,Disabled,Enabled,"5,366,492"
Chroma Peel Facial (LED & Microdermabrasion),48.00,40m,5m blocked time after,Default per location,"Our Chromapeel, micro-dermabrasion and LED facial helps combat the signs of ageing and  pigmentation. 

 As we age our cellular renewal process slows down, up until our mid 30's it takes approximately 28 days for your skin to renew itself.  After your mid thirties, your age represents the number of days it takes for your skin to renew. The main purpose of micro-dermabrasion is to restore the regular turn over of skin cells to maintain a youthful and radiant appearance other benefits such as promoting collagen production which declines with the ageing process and reducing pigmentation which can become more prevalent with ageing.

The treatment is completed with LED chromatherapy that has been used by both dermatologists and beauty therapists for several decades to stimulate collagen, aid cellular renewal and strengthen capillary walls.

Can be used as a one off treatment but for longer lasting results it is recommended as a regular part of your monthly skincare routine.",Advanced Facials,Microdermabrasion,Required,Enabled,Everyone,Disabled,Enabled,"5,366,517"
Derma3cope (chroma peel & microcurrent),118.00,1h 50m,10m blocked time after,Default per location,"This is the ultimate anti-ageing treatment from our advanced range of facials, it combines diamond micro-dermabrasion, microcurrent facelifting and LED therapy to create dramatic results in facial rejuvenation, which the keep working long after your facial. 

This facial visibly improves skin laxity, boosts skin cell turn over, increases collagen production and elastin fibres can be increases in size up to 50%.",Advanced Facials,Microcurrent Facial,Required,Enabled,Everyone,Disabled,Enabled,"6,698,428"
[NOT CURRENTLY AVAILABLE] Advanced facial,72.00,1h 10m,5m blocked time after,Custom per location,"Our advance facial is a combination of electrical and manual techniques using a range of galvanic, high frequency, micro-current and Viennese massage all be combined with powerful serums, botanical extracts and ingredients to restore the balance and improve the appearance of your skin.

It can be used to treat a wide variety of skin concerns such from everyday problems such as lack of hydration, excess oiliness and signs of ageing through to acneic conditions.",Advanced Facials,Facial,Required,Disabled,,Disabled,Enabled,"179,811"
Back treatment,59.00,55m,5m blocked time after,Custom per location,"Backs are often neglected, this treatment will leave your back deep cleansed, exfoliated and nourished.  Starting with a hot steam, your back will be cleansed and scrubbed to prepare you for a restorative and  remineralising marine clay mask, your treatment is then completed with back, neck and shoulder massage. This is the perfect preparation treatment for holidays, nights out or just a delicious treat.",Body Treatments,Body Scrub,Not required,Enabled,Everyone,Disabled,Enabled,"180,934"
Restorative marine spa ritual,70.00,1h 5m,10m blocked time after,Custom per location,"This spa ritual is the ultimate indulgance and our star treatment.  It begins with you being enveloped in a self heating marine body wrap on a heated massage bed.  You then receive an Indian head massage while restorative marine minerals are absorbed into the skin restoring the tone and vitality, which have also been accredited with assisting the dispersal of local fatty deposits.  The marine clay is then removed with hot towels while you do nothing more than bask in the after glow of the first half of your treatment. Your treatment is then completed with a soothing back massage.  The only unpleasant part of this treatment is waking up!.",Body Treatments,Body Scrub,Not required,Enabled,Everyone,Disabled,Enabled,"180,943"
Restorative Marine Spa Ritual - with full body massage,92.00,1h 30m,,Default per location,This includes all the indulgence of the marine spa ritual but the back massage is upgraded to a full body massage for only £22 more!,Body Treatments,Full Body Massage,Not required,Enabled,Everyone,Disabled,Enabled,"4,413,568"
Full body scrub,40.00,25m,5m blocked time after,Custom per location,This is the perfect pick-me-up for your skin.  If your complexion is looking tired and dull this is the perfect treatment to brighten and stimulate its appearance. A blend of Himalayan salts and coconut oil will brighten and stimulate to leave your skin glowing,Body Treatments,Body Scrub,Not required,Enabled,Everyone,Disabled,Enabled,"180,945"
Full body scrub - when added to a therapeutic massage,35.00,25m,5m blocked time after,Custom per location,Our body scrub is discounted when added to any of our therapeutic massages (treatments must be booked together at the same time on the same day).,Body Treatments,Full Body Massage,Required,Enabled,Everyone,Disabled,Enabled,"180,946"
Electrolysis - 10 minutes,20.00,15m,15m blocked time after,Custom per location,,Electrolysis,Electrolysis,Required,Disabled,,Disabled,Enabled,"388,020"
Electrolysis - 15 minutes,25.00,15m,15m blocked time after,Custom per location,,Electrolysis,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"180,952"
Electrolysis - 30 minutes,40.00,30m,15m blocked time after,Custom per location,,Electrolysis,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"180,957"
Electrolysis - 45 minutes,59.00,45m,15m blocked time after,Custom per location,,Electrolysis,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"180,961"
Electrolysis - 60 minutes,76.00,1h,15m blocked time after,Custom per location,,Electrolysis,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"180,963"
Electrolysis - 120 mins,152.00,2h,15m blocked time after,Default per location,,Electrolysis,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"9,727,947"
Electrolysis - left over minutes - Free,0.00,15m,,Custom per location,,Electrolysis,Electrolysis,Required,Disabled,,Disabled,Disabled,"1,145,003"
Patch test - lash lifting and tinting (48 hours in advance) - Free,0.00,15m,,Default per location,,Eye Treatments,Lash Lift and Tint,Not required,Enabled,Everyone,Disabled,Disabled,"6,838,595"
Patch test - lash & brow tinting (48 hrs in advance) - Free,0.00,15m,,Custom per location,A patch test is required 48 hours before your first tint treatment at the salon. Or if it has been 12 months or more since your last lash tint.  This is a legal requirement and we are not able to perform any tinting treatments without it.,Eye Treatments,Lash Lift and Tint,Not required,Enabled,Everyone,Disabled,Enabled,"179,926"
Patch test - lash lift (48 hrs in advance) - Free,0.00,15m,,Default per location,A patch test is required 48 hours before your first lash lift treatment at the salon. Or if it has been 12 months or more since your last lash lift.  This is a legal requirement and we are not able to perform any lash lift treatments without it.,Eye Treatments,Lash Lift,Not required,Enabled,Everyone,Disabled,Enabled,"2,874,229"
Patch test - temporary/party lashes (48 hrs in advance) - Free,0.00,15m,,Default per location,A patch test is required 48 hours before your first lash application at the salon. Or if it has been 12 months or more since your last lash application.  This is a legal requirement and we are not able to perform any lash treatments without it.,Eye Treatments,Eyelash Extensions,Required,Enabled,Everyone,Disabled,Enabled,"5,774,278"
Patch test - semi permanent lashes (48 hrs in advance) - Free,0.00,15m,,Custom per location,A patch test is required 48 hours before your lash treatment at the salon. Or if it has been 12 months or more since your last lash application.  This is a legal requirement and we are not able to perform any lash treatments without it.,Eye Treatments,Permanent Makeup,Not required,Disabled,,Disabled,Enabled,"179,927"
Eyebrow shape - Strip wax,18.00,15m,,Custom per location,"To shape the eyebrow using tweezers, strip or hot wax, please select your preferred method from the drop down menu below.",Eye Treatments,Eyebrow Shaping,Not required,Enabled,Everyone,Disabled,Enabled,"179,898"
Eyebrow shape - Hot wax,18.00,15m,,Custom per location,"To shape the eyebrow using tweezers, strip or hot wax, please select your preferred method from the drop down menu below.",Eye Treatments,Eyebrow Shaping,Not required,Enabled,Everyone,Disabled,Enabled,"179,898"
Eyebrow shape - Tweezers,18.00,15m,,Custom per location,"To shape the eyebrow using tweezers, strip or hot wax, please select your preferred method from the drop down menu below.",Eye Treatments,Eyebrow Shaping,Not required,Enabled,Everyone,Disabled,Enabled,"179,898"
Eyelash tint,22.00,20m,10m blocked time after,Custom per location,"If you have not had your lashes tinted at La Belle Jolie or if it has been over 12 months since your last tinting appointment, please note that you will need to book a patch test at least 48 hours prior to treatment.",Eye Treatments,Eyelash Tinting,Not required,Enabled,Everyone,Disabled,Enabled,"179,930"
Eyelash & eyebrow tint,32.00,25m,5m blocked time after,Custom per location,"If you have not had a tinting treatment at La Belle Jolie or if it has been over 12 months since your last tinting appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Eyelash Tinting,Not required,Enabled,Everyone,Disabled,Enabled,"179,932"
Eyelash tint & eyebrow shape,32.00,25m,5m blocked time after,Default per location,,Eye Treatments,Eyebrow Shaping,Required,Enabled,Everyone,Disabled,Enabled,"5,834,778"
Eyebrow tint,18.00,15m,,Custom per location,"If you have not had your eyebrows tinted at La Belle Jolie or if it has been over 12 months since your last tinting appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Eyebrow Tinting,Required,Enabled,Everyone,Disabled,Enabled,"179,931"
Eyebrow shape & tint,32.00,25m,5m blocked time after,Custom per location,"If you have not had your eyebrows tinted at La Belle Jolie or if it has been over 12 months since your last tinting appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Eyebrow Shaping,Required,Enabled,Everyone,Disabled,Enabled,"179,933"
Eye trio - eyelash & brow tint & eyebrow shape,45.00,40m,5m blocked time after,Custom per location,"If you have not had a tint treatment at La Belle Jolie or if it has been over 12 months since your last tinting appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Eyebrow Shaping,Not required,Enabled,Everyone,Disabled,Enabled,"179,929"
Lash lift,55.00,45m,,Default per location,"If you have not had your lashes lifted at La Belle Jolie or if it has been over 12 months since your last lash lift appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Lash Lift,Not required,Enabled,Everyone,Disabled,Enabled,"1,883,162"
Lash lift & tint,65.00,55m,5m blocked time after,Default per location,"If you have not had a lash lift or tint treatment at La Belle Jolie or if it has been over 12 months since your last lash lift appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Lash Lift and Tint,Not required,Enabled,Everyone,Disabled,Enabled,"1,883,178"
Lash lift with lash & brow tint,70.00,55m,5m blocked time after,Default per location,"If you have not had a lash lift or tint at La Belle Jolie or if it has been over 12 months since your last lash lift appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Lash Lift and Tint,Not required,Enabled,Everyone,Disabled,Enabled,"1,883,181"
"Eye quattro - lash lift, eyelash & brow tint & eyebrow shape",75.00,1h 5m,10m blocked time after,Default per location,"If you have not had a lash lift or tint at La Belle Jolie or if it has been over 12 months since your last lash lift appointment, please note that you will need to book a patch test at least 48 hours prior to your treatment.",Eye Treatments,Lash Lift and Tint,Not required,Enabled,Everyone,Disabled,Enabled,"1,883,185"
Temporary lashes (also called party or flare lashes),38.00,25m,5m blocked time after,Custom per location,"Temporary lashes provide you with the chance to have glamorous eyelashes for a shorter duration than semi-permanent lashes. Lasting for just two weeks they are perfect for special occasions, parties or holidays.

Lashes can be applied with a delicate natural appearance right through to a heavier more dramatic effect and can last up to fourteen days depending on aftercare.

Your lashes will need to be professionally removed after 14 days, which is carried out free of charge.",Eye Treatments,Eyelash Extensions,Not required,Enabled,Everyone,Disabled,Enabled,"179,935"
Temporary lash removal (flare lashes) - Free,0.00,15m,,Custom per location,"The professional and safe removal of temporary eyelashes is essential, attempting to remove lashes yourself can cause damage to your own lashes.

This treatment is free of charge.

Please note:  We regret we cannot remove lashes applied by other salons.",Eye Treatments,Scar Removal,Not required,Enabled,Everyone,Disabled,Enabled,"179,937"
Semi-permanent lashes - full set,85.00,2h,,Custom per location,"Semi-permanent lashes offer an elegant way to enhance your own natural eyelashes with long lasting effects.

Lashes can be worn indefinitely as one single lash is applied to one of your own, thus not impeding growth nor potentially harming the regrowth of new hairs.

We do recommend that you will require an in-fill appointment every four to six weeks according to your homecare.

N.B. IT IS ESSENTIAL THAT YOU BOOK A PATCH TEST 48 HOURS PRIOR TO THIS APPOINTMENT OR WE WILL NOT BE ABLE TO CARRY OUT YOUR APPOINTMENT.",Eye Treatments,Eyelash Extensions,Not required,Disabled,,Disabled,Enabled,"179,939"
Semi-permanent lashes - infills for full set,50.00,1h 30m,,Custom per location,"Semi-permanent lashes offer an elegant way to enhance your own natural eyelashes with long lasting effects.

Lashes can be worn indefinitely as one single lash is applied to one of your own, thus not impeding growth nor potentially harming the regrowth of new hairs.

We do recommend that you will require an in-fill appointment every four to six weeks according to your homecare.

N.B. Please note that for legal reasons we cannot in-fill lashes that have been applied in other salons",Eye Treatments,Eyelash Extensions,Not required,Enabled,Everyone,Disabled,Enabled,"179,941"
Semi-permanent lashes - half set,65.00,1h 30m,,Custom per location,"Semi-permanent lashes offer an elegant way to enhance your own natural eyelashes with long lasting effects.

Lashes can be worn indefinitely as one single lash is applied to one of your own, thus not impeding growth nor potentially harming the regrowth of new hairs.

We do recommend that you will require an in-fill appointment every four to six weeks according to your homecare.

N.B. IT IS ESSENTIAL THAT YOU BOOK A PATCH TEST 48 HOURS PRIOR TO THIS APPOINTMENT OR WE WILL NOT BE ABLE TO CARRY OUT YOUR APPOINTMENT.",Eye Treatments,Eyelash Extensions,Not required,Enabled,Everyone,Disabled,Enabled,"179,943"
Semi-permanent lashes - infills for half set,40.00,1h 15m,,Custom per location,"Semi-permanent lashes offer an elegant way to enhance your own natural eyelashes with long lasting effects.

Lashes can be worn indefinitely as one single lash is applied to one of your own, thus not impeding growth nor potentially harming the regrowth of new hairs.

We do recommend that you will require an in-fill appointment every four to six weeks according to your homecare.

N.B. Please note that for legal reasons we cannot in-fill lashes that have been applied in other salons",Eye Treatments,Eyelash Extensions,Not required,Disabled,,Disabled,Enabled,"179,945"
Semi permanent lash removal,20.00,25m,5m blocked time after,Default per location,"The professional and safe removal of semi-permanent eyelashes is essential, attempting to remove lashes yourself can cause damage to your own lashes.

This treatment is free of charge.

Please note:  We regret we cannot remove lashes applied by other salons.",Eye Treatments,Eyelash Extensions,Not required,Disabled,,Disabled,Enabled,"2,760,303"
Express facial,42.00,25m,5m blocked time after,Default per location,"The newest addition to our facial menu, this deep cleansing facial is perfect as a maintenance treatment with steam, a deep cleanse and exfoliate, extractions (optional) and masque all completed with serums and moisturisers to suit your skins needs and tackles skin concerns.

Please note that this facial doesn't include massage.",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"9,738,822"
De-stress facial,42.00,25m,5m blocked time after,Custom per location,"This is the ideal ""pick me up"" or a luxury add on to another treatment, your skin is steam cleansed and exfoliated then followed with a lifting and toning massage to the head, neck, shoulders and décolleté and all enhanced by our active botanical range designed to promote a healthy, toned and hydrated complexion.

Treatment time: 25 mins",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"179,814"
Prescription facial,70.00,55m,5m blocked time after,Custom per location,"This bespoke facial changes with your individual needs.  On each visit your skin is thoroughly assessed and  products are carefully selected.

Beginning with a deep cleanse and steam, extractions (if requested) your face and décolleté will be exfoliated, nourished, soothed and hydrated whilst a stimulating head, neck and shoulder massage will soothe away stress, stimulate the production of collagen and plump out fine lines and leave your skin visibly toned and glowing.  This is then followed with a masque which is accompanied by a deeply relaxing scalp massage.

Treatment time: 55 mins",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"179,808"
Vegan prescription facial,70.00,55m,5m blocked time after,Default per location,"Whilst all our skincare is vegetarian friendly, vegan skincare is a little more specific, so we have created a specially curated facial from our range to ensure complete peace of mind while you receive all the benefits of our prescription facial.

Treatment time: 55 minutes.",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"2,754,814"
Microgreens Detox Facial,70.00,55m,5m blocked time after,Custom per location,"This facial has quickly become our firm favourite, with instant anti-ageing results, skin is visibly younger looking after one treatment.

Research is now showing that particulate matter from pollution is a primary contributor to premature ageing Éminence Organics have launched their very own ""anti-pollution solution.""
 
The Microgreens detox collection stimulates the release of enzymes that prevent free radical damage and oxidative stress and reduces the signs of premature ageing.

Treatment time: 55 mins",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"1,775,444"
Signature facial,95.00,1h 20m,10m blocked time after,Custom per location,"The most indulgent treatment of our facial range, this deeply relaxing treat begins with a neck, back and shoulder massage to ensure you are fully relaxed before your facial begins.  After a thorough consultation and assessment, your skin will be steamed (extractions can be performed on request), deep cleansed, exfoliated, nourished and hydrated and further enhanced with our anti ageing face, neck and décolleté lifting massage.
 
This facial is always adapted to suit your skins needs or present concerns at the time of treatment using Éminence Organics wide range of prescriptive and powerful products

Treatment time: 80 minutes",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"179,806"
Fire & ice facial,75.00,55m,5m blocked time after,Default per location,"Known among Holllywood's A-listers as a ""red carpet facial,"" it deeply exfoliates and brightens your complexion, stimulates the micro-circulation and lymph whilst resurfacing the skin, reducing the appearance of fine lines and wrinkles giving a healthy glowing complexion are all achieved with exfoliating AHA's, natural retinol alternative, rosehip, menthol and healing Lotus extracts.

Treatment time: 55 mins",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"2,754,843"
Yam & Pumpkin Enzyme Peel,58.00,40m,5m blocked time after,Default per location,"For dramatic facial peeling results without the downtime of harsher peels, our Yam and Pumpkin enzyme peel is a gentle yet impressive facial that gives dramatic and immediate results.
 
Visibly softening the signs of ageing and hydrating the skin it also reduces the appearance of pigmentation, fine lines and sun damage, with no harsh after effects and zero down time.",Facials,Facial,Not required,Enabled,Everyone,Disabled,Enabled,"5,364,814"
Mangosteen lactic acid peel,70.00,55m,5m blocked time after,Custom per location,"Increasing demand in the industry for facial peeling has lead to the creation of this gentle and effective peel. Ideal for sensitive skins (if you're looking for something a little more powerful scroll down for our Yam & Pumpkin Peel).

Whilst harsh chemical facial peels can leave the skin impaired and vulnerable until it heals, this gentle non-invasive treatment has no down time and and your skin is left bright and hydrated.

Mangosteen helps to protect the skin from dehydration and damage from environmental impact, minimising enlarged pores, stimulating cellular renewal it's even suitable for sensitive skins.  You facial is completed with natural retinols which are scientifically proven to outperform their synthetic counterparts!.

Treatment time: 55 mins",Facials,Chemical Peel,Not required,Enabled,Everyone,Disabled,Enabled,"1,775,450"
Gel manicure,45.00,40m,5m blocked time after,Default per location,"The worlds first non toxic, green gel polish!  Free from hormone disrupting chemicals and easy and gentle to remove without damage to you nails.  What's not to love!?",Gel Polish Removal,Gel Nails,Required,Disabled,,Disabled,Enabled,"5,041,887"
Luxury gel manicure,60.00,50m,10m blocked time after,Default per location,"The worlds first non toxic, green gel polish!  Free from hormone disrupting chemicals and easy and gentle to remove without damage to you nails.  What's not to love!?",Gel Polish Removal,Gel Nails,Required,Disabled,,Disabled,Enabled,"5,041,894"
Gel pedicure,45.00,40m,5m blocked time after,Default per location,"The worlds first non toxic, green gel polish!  Free from hormone disrupting chemicals and easy and gentle to remove without damage to you nails.  What's not to love!?",Gel Polish Removal,Gel Nails,Required,Disabled,,Disabled,Enabled,"5,041,903"
